heatmap_Accuracy,heatmap_Sensitivity,heatmap_Specificity,cluster_Accuracy,cluster_Sensitivity,cluster_Specificity,cluster_overlay_Accuracy,cluster_overlay_Sensitivity,cluster_overlay_Specificity,contour_Accuracy,contour_Sensitivity,contour_Specificity
0.5,0.0,1.0,0.625,0.25,1.0,0.5,0.75,0.25,0.75,0.5,1.0
0.625,0.25,1.0,0.5,1.0,0.0,0.625,0.75,0.5,0.75,0.5,1.0
0.75,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0
0.75,0.75,0.75,0.875,1.0,0.75,0.75,1.0,0.5,0.875,1.0,0.75
0.5,0.0,1.0,0.5,1.0,0.0,0.625,0.75,0.5,0.5,0.0,1.0
0.5,0.0,1.0,0.625,0.5,0.75,0.25,0.0,0.5,0.75,0.5,1.0
0.5,0.0,1.0,0.875,0.75,1.0,0.75,0.75,0.75,0.75,0.5,1.0
0.875,1.0,0.75,0.875,1.0,0.75,0.5,1.0,0.0,0.875,1.0,0.75
0.5,0.25,0.75,1.0,1.0,1.0,0.75,0.5,1.0,0.625,0.25,1.0
0.75,0.5,1.0,0.875,1.0,0.75,0.625,1.0,0.25,0.625,0.5,0.75
0.75,0.5,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.625,0.25,1.0
0.5,0.0,1.0,0.5,0.25,0.75,0.625,0.75,0.5,0.625,0.25,1.0
0.75,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.0,0.625,0.5,0.75
0.5,0.0,1.0,0.5,0.25,0.75,0.625,0.75,0.5,0.625,0.25,1.0
0.625,0.25,1.0,0.625,0.25,1.0,0.25,0.25,0.25,0.75,0.5,1.0
0.5,0.0,1.0,0.5,1.0,0.0,0.5,0.5,0.5,0.625,0.25,1.0
0.5,0.0,1.0,0.75,0.5,1.0,0.5,0.25,0.75,0.625,0.5,0.75
0.5,0.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.625,0.25,1.0
0.5,0.25,0.75,1.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0
0.375,0.0,0.75,0.75,1.0,0.5,0.625,1.0,0.25,0.75,0.5,1.0
0.75,0.5,1.0,0.625,1.0,0.25,0.5,1.0,0.0,0.75,0.75,0.75
0.5,0.0,1.0,0.5,0.25,0.75,0.5,0.75,0.25,0.75,0.5,1.0
0.875,1.0,0.75,0.5,1.0,0.0,0.625,1.0,0.25,0.625,0.5,0.75
0.5,1.0,0.0,0.875,1.0,0.75,0.5,1.0,0.0,0.875,1.0,0.75
0.875,0.75,1.0,0.5,1.0,0.0,0.75,1.0,0.5,0.75,0.5,1.0
0.75,1.0,0.5,1.0,1.0,1.0,0.5,0.75,0.25,0.625,0.5,0.75
0.625,0.25,1.0,0.625,1.0,0.25,0.75,1.0,0.5,0.5,0.25,0.75
0.5,0.0,1.0,0.75,1.0,0.5,0.5,0.75,0.25,0.625,0.25,1.0
0.5,0.0,1.0,1.0,1.0,1.0,0.625,1.0,0.25,0.75,0.5,1.0
0.625,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.25,1.0,1.0,1.0
0.5,0.5,0.5,0.75,1.0,0.5,0.5,0.75,0.25,0.625,0.5,0.75
0.625,0.75,0.5,1.0,1.0,1.0,0.875,1.0,0.75,0.875,0.75,1.0
0.625,0.75,0.5,0.375,0.75,0.0,0.5,0.75,0.25,0.625,0.5,0.75

0.616, 0.344, 0.834, 0.70, 0.766, 0.612, 0.559, 0.706, 0.445, 0.713, 0.53, 0.875

heatmap_Accuracy,heatmap_Sensitivity,heatmap_Specificity,cluster_Accuracy,cluster_Sensitivity,cluster_Specificity,cluster_overlay_Accuracy,cluster_overlay_Sensitivity,cluster_overlay_Specificity,contour_Accuracy,contour_Sensitivity,contour_Specificity

Spalte 1 Durchschnitt: 0.6051
Spalte 2 Durchschnitt: 0.5444
Spalte 3 Durchschnitt: 0.6235
Spalte 4 Durchschnitt: 0.77975
Spalte 5 Durchschnitt: 0.787
Spalte 6 Durchschnitt: 0.78925
Spalte 7 Durchschnitt: 0.61675
Spalte 8 Durchschnitt: 0.518
Spalte 9 Durchschnitt: 0.63475
Spalte 10 Durchschnitt: 0.75525
Spalte 11 Durchschnitt: 0.66313
Spalte 12 Durchschnitt: 0.7865
